year,origin_geoid,dest_geoid,flow,origin_name,dest_name
2020,01123,44009,809,Tallapoosa County,Washington County
2020,47147,01123,647,Robertson County,Tallapoosa County
2018,47147,01011,518,Robertson County,Bullock County
2018,36115,01011,898,Washington County,Bullock County
2018,01011,48371,196,Bullock County,Pecos County
2019,35015,01011,230,Eddy County,Bullock County
2019,01011,49053,66,Bullock County,Washington County
2019,01011,36033,260,Bullock County,Franklin County
2020,40133,01011,326,Seminole County,Bullock County
2020,01011,56003,450,Bullock County,Big Horn County
2020,40107,01011,127,Okfuskee County,Bullock County
2020,01011,22123,220,Bullock County,West Carroll Parish
2018,06089,01129,1000,Shasta County,Washington County
2018,01129,20061,115,Washington County,Geary County
2019,01129,46035,32,Washington County,Davison County
2019,01129,40091,29,Washington County,McIntosh County
2019,01129,18089,493,Washington County,Lake County
2019,08103,01129,853,Rio Blanco County,Washington County
2019,01129,20209,963,Washington County,Wyandotte County
2020,01129,28107,516,Washington County,Panola County
2020,55037,01129,267,Florence County,Washington County
2020,01129,20021,184,Washington County,Cherokee County
2020,01129,34007,278,Washington County,Camden County
2018,34031,01025,126,Passaic County,Clarke County
2018,01025,39137,314,Clarke County,Putnam County
2019,72065,01025,202,Hatillo Municipio,Clarke County
2019,08011,01025,726,Bent County,Clarke County
2019,01025,45025,47,Clarke County,Chesterfield County
2019,01025,38025,331,Clarke County,Dunn County
2020,01025,32005,658,Clarke County,Douglas County
2020,02110,01025,83,Juneau City and Borough,Clarke County
2018,02275,34003,66,Wrangell City and Borough,Bergen County
2018,02275,09011,302,Wrangell City and Borough,New London County
2018,02275,19021,205,Wrangell City and Borough,Buena Vista County
2019,38083,02275,801,Sheridan County,Wrangell City and Borough
2019,06025,02275,656,Imperial County,Wrangell City and Borough
2019,20131,02275,637,Nemaha County,Wrangell City and Borough
2020,02275,13261,603,Wrangell City and Borough,Sumter County
2020,18135,02275,347,Randolph County,Wrangell City and Borough
2018,26001,02150,827,Alcona County,Kodiak Island Borough
2018,02150,24039,447,Kodiak Island Borough,Somerset County
2019,31045,02150,366,Dawes County,Kodiak Island Borough
2019,47147,02150,812,Robertson County,Kodiak Island Borough
2019,02150,04021,277,Kodiak Island Borough,Pinal County
2019,20189,02150,378,Stevens County,Kodiak Island Borough
2019,04003,02150,932,Cochise County,Kodiak Island Borough
2020,35023,02150,353,Hidalgo County,Kodiak Island Borough
2020,02150,34033,49,Kodiak Island Borough,Salem County
2018,02198,20131,771,Prince of Wales-Hyder Census Area,Nemaha County
2018,04025,02198,855,Yavapai County,Prince of Wales-Hyder Census Area
2018,02198,04003,513,Prince of Wales-Hyder Census Area,Cochise County
2018,02198,20095,254,Prince of Wales-Hyder Census Area,Kingman County
2019,06089,02198,865,Shasta County,Prince of Wales-Hyder Census Area
2019,31045,02198,597,Dawes County,Prince of Wales-Hyder Census Area
2020,02198,31089,11,Prince of Wales-Hyder Census Area,Holt County
2020,02198,40091,487,Prince of Wales-Hyder Census Area,McIntosh County
2020,02198,54027,620,Prince of Wales-Hyder Census Area,Hampshire County
2018,37089,02164,861,Henderson County,Lake and Peninsula Borough
2018,48403,02164,776,Sabine County,Lake and Peninsula Borough
2018,06011,02164,209,Colusa County,Lake and Peninsula Borough
2018,02164,53049,917,Lake and Peninsula Borough,Pacific County
2019,02164,42011,645,Lake and Peninsula Borough,Berks County
2019,45051,02164,440,Horry County,Lake and Peninsula Borough
2019,33013,02164,295,Merrimack County,Lake and Peninsula Borough
2019,46035,02164,992,Davison County,Lake and Peninsula Borough
2020,42011,02164,559,Berks County,Lake and Peninsula Borough
2020,27045,02164,917,Fillmore County,Lake and Peninsula Borough
2020,02110,02164,561,Juneau City and Borough,Lake and Peninsula Borough
2018,08001,02070,248,Adams County,Dillingham Census Area
2018,15001,02070,558,Hawaii County,Dillingham Census Area
2018,02070,08001,84,Dillingham Census Area,Adams County
2018,02070,17125,316,Dillingham Census Area,Mason County
2019,48159,02070,76,Franklin County,Dillingham Census Area
2019,02070,36001,288,Dillingham Census Area,Albany County
2020,02070,50011,545,Dillingham Census Area,Franklin County
2020,33011,02070,961,Hillsborough County,Dillingham Census Area
2020,47147,02070,190,Robertson County,Dillingham Census Area
2020,02070,34023,108,Dillingham Census Area,Middlesex County
2018,02090,42091,363,Fairbanks North Star Borough,Montgomery County
2018,02090,29091,942,Fairbanks North Star Borough,Howell County
2018,02090,13287,390,Fairbanks North Star Borough,Turner County
2019,04027,02090,108,Yuma County,Fairbanks North Star Borough
2019,02090,54039,475,Fairbanks North Star Borough,Kanawha County
2019,13287,02090,658,Turner County,Fairbanks North Star Borough
2020,02090,22123,644,Fairbanks North Star Borough,West Carroll Parish
2020,02090,36001,681,Fairbanks North Star Borough,Albany County
2020,02090,12011,570,Fairbanks North Star Borough,Broward County
2018,22123,02282,683,West Carroll Parish,Yakutat City and Borough
2018,53009,02282,848,Clallam County,Yakutat City and Borough
2018,38087,02282,273,Slope County,Yakutat City and Borough
2019,08121,02282,810,Washington County,Yakutat City and Borough
2019,40021,02282,736,Cherokee County,Yakutat City and Borough
2019,02282,05071,165,Yakutat City and Borough,Johnson County
2020,02282,32029,779,Yakutat City and Borough,Storey County
2020,02282,08023,451,Yakutat City and Borough,Costilla County
2020,24035,02282,802,Queen Anne's County,Yakutat City and Borough
2020,02282,02090,870,Yakutat City and Borough,Fairbanks North Star Borough
2020,02282,42091,187,Yakutat City and Borough,Montgomery County
2018,02220,20107,223,Sitka City and Borough,Linn County
2018,54025,02220,351,Greenbrier County,Sitka City and Borough
2018,36033,02220,739,Franklin County,Sitka City and Borough
2018,02220,06105,829,Sitka City and Borough,Trinity County
2019,13191,02220,698,McIntosh County,Sitka City and Borough
2019,36119,02220,768,Westchester County,Sitka City and Borough
2019,02220,27137,600,Sitka City and Borough,St. Louis County
2019,02220,40091,113,Sitka City and Borough,McIntosh County
2019,02220,27025,870,Sitka City and Borough,Chisago County
2020,02220,28021,751,Sitka City and Borough,Claiborne County
2020,02220,47021,644,Sitka City and Borough,Cheatham County
2020,46137,02220,735,Ziebach County,Sitka City and Borough
2020,35028,02220,986,Los Alamos County,Sitka City and Borough
2018,02110,16081,276,Juneau City and Borough,Teton County
2018,05001,02110,106,Arkansas County,Juneau City and Borough
2018,02110,72025,71,Juneau City and Borough,Caguas Municipio
2019,02110,19169,338,Juneau City and Borough,Story County
2019,02110,16073,319,Juneau City and Borough,Owyhee County
2019,27021,02110,150,Cass County,Juneau City and Borough
2020,02110,36097,628,Juneau City and Borough,Schuyler County
2020,12011,02110,154,Broward County,Juneau City and Borough
2020,39153,02110,246,Summit County,Juneau City and Borough
2018,50003,02013,649,Bennington County,Aleutians East Borough
2018,02013,10005,855,Aleutians East Borough,Sussex County
2018,36101,02013,492,Steuben County,Aleutians East Borough
2018,02013,05021,911,Aleutians East Borough,Clay County
2019,02013,33019,71,Aleutians East Borough,Sullivan County
2019,31089,02013,610,Holt County,Aleutians East Borough
2019,23001,02013,715,Androscoggin County,Aleutians East Borough
2020,02013,50011,224,Aleutians East Borough,Franklin County
2020,06027,02013,36,Inyo County,Aleutians East Borough
2018,04017,25017,951,Navajo County,Middlesex County
2018,04017,49001,356,Navajo County,Beaver County
2018,08001,04017,453,Adams County,Navajo County
2018,04017,48013,109,Navajo County,Atascosa County
2019,53055,04017,181,San Juan County,Navajo County
2019,54027,04017,717,Hampshire County,Navajo County
2020,04017,51105,272,Navajo County,Lee County
2020,50025,04017,637,Windham County,Navajo County
2018,04021,02090,336,Pinal County,Fairbanks North Star Borough
2018,05129,04021,184,Searcy County,Pinal County
2019,36033,04021,602,Franklin County,Pinal County
2019,04021,23011,595,Pinal County,Kennebec County
2020,04021,17095,517,Pinal County,Knox County
2020,05129,04021,83,Searcy County,Pinal County
2020,04021,27053,60,Pinal County,Hennepin County
2020,04021,41063,647,Pinal County,Wallowa County
2018,54087,04001,303,Roane County,Apache County
2018,38101,04001,593,Ward County,Apache County
2019,31089,04001,999,Holt County,Apache County
2019,04001,18145,459,Apache County,Shelby County
2019,29163,04001,93,Pike County,Apache County
2019,34037,04001,851,Sussex County,Apache County
2019,40095,04001,452,Marshall County,Apache County
2020,28021,04001,820,Claiborne County,Apache County
2020,72067,04001,46,Hormigueros Municipio,Apache County
2020,21089,04001,102,Greenup County,Apache County
2020,32017,04001,136,Lincoln County,Apache County
2018,34017,04025,749,Hudson County,Yavapai County
2018,04025,53055,15,Yavapai County,San Juan County
2018,04025,47021,725,Yavapai County,Cheatham County
2018,37089,04025,107,Henderson County,Yavapai County
2019,04025,23001,988,Yavapai County,Androscoggin County
2019,06089,04025,148,Shasta County,Yavapai County
2019,04025,54065,689,Yavapai County,Morgan County
2019,04025,24025,945,Yavapai County,Harford County
2019,04025,32031,413,Yavapai County,Washoe County
2020,04025,72059,878,Yavapai County,Guayanilla Municipio
2020,08115,04025,375,Sedgwick County,Yavapai County
2018,23027,04011,621,Waldo County,Greenlee County
2018,17181,04011,877,Union County,Greenlee County
2018,41061,04011,210,Union County,Greenlee County
2019,46137,04011,20,Ziebach County,Greenlee County
2019,09013,04011,243,Tolland County,Greenlee County
2019,12083,04011,58,Marion County,Greenlee County
2019,26009,04011,367,Antrim County,Greenlee County
2020,50027,04011,199,Windsor County,Greenlee County
2020,04011,22117,548,Greenlee County,Washington Parish
2020,04011,54039,829,Greenlee County,Kanawha County
2020,04011,40133,922,Greenlee County,Seminole County
2020,04011,35023,178,Greenlee County,Hidalgo County
2018,04015,42025,403,Mohave County,Carbon County
2018,04015,48013,491,Mohave County,Atascosa County
2018,04015,44003,337,Mohave County,Kent County
2018,32023,04015,632,Nye County,Mohave County
2018,29139,04015,783,Montgomery County,Mohave County
2019,04015,48061,421,Mohave County,Cameron County
2019,26061,04015,439,Houghton County,Mohave County
2019,04015,02070,433,Mohave County,Dillingham Census Area
2019,29009,04015,544,Barry County,Mohave County
2019,04015,56025,255,Mohave County,Natrona County
2020,04015,39045,891,Mohave County,Fairfield County
2020,04015,37091,728,Mohave County,Hertford County
2020,28037,04015,471,Franklin County,Mohave County
2020,44009,04015,577,Washington County,Mohave County
2020,04015,23027,264,Mohave County,Waldo County
2018,04005,17135,570,Coconino County,Montgomery County
2018,04005,34003,659,Coconino County,Bergen County
2019,04005,34001,243,Coconino County,Atlantic County
2019,72065,04005,439,Hatillo Municipio,Coconino County
2019,04005,45017,503,Coconino County,Calhoun County
2020,04005,08103,961,Coconino County,Rio Blanco County
2020,13105,04005,890,Elbert County,Coconino County
2020,12129,04005,733,Wakulla County,Coconino County
2018,42019,04003,691,Butler County,Cochise County
2018,04003,25017,983,Cochise County,Middlesex County
2018,39025,04003,767,Clermont County,Cochise County
2018,26021,04003,597,Berrien County,Cochise County
2018,04003,19191,243,Cochise County,Winneshiek County
2019,04003,08011,422,Cochise County,Bent County
2019,04003,34031,280,Cochise County,Passaic County
2019,04003,20001,333,Cochise County,Allen County
2019,04003,01091,954,Cochise County,Marengo County
2020,04003,37091,699,Cochise County,Hertford County
2020,04003,56027,970,Cochise County,Niobrara County
2020,35049,04003,18,Santa Fe County,Cochise County
2020,04003,45007,176,Cochise County,Anderson County
2018,47145,04027,145,Roane County,Yuma County
2018,04027,49019,293,Yuma County,Grand County
2018,04027,32031,712,Yuma County,Washoe County
2019,04027,29021,659,Yuma County,Buchanan County
2019,04027,36011,59,Yuma County,Cayuga County
2019,39037,04027,601,Darke County,Yuma County
2019,13061,04027,666,Clay County,Yuma County
2020,41043,04027,758,Linn County,Yuma County
2020,30027,04027,697,Fergus County,Yuma County
2020,04027,09003,303,Yuma County,Hartford County
2020,04027,36101,552,Yuma County,Steuben County
2018,04009,18053,820,Graham County,Grant County
2018,04009,04027,477,Graham County,Yuma County
2018,04009,30027,670,Graham County,Fergus County
2018,33001,04009,874,Belknap County,Graham County
2019,18001,04009,663,Adams County,Graham County
2019,34023,04009,781,Middlesex County,Graham County
2019,37021,04009,897,Buncombe County,Graham County
2019,04009,32017,772,Graham County,Lincoln County
2019,04009,40091,738,Graham County,McIntosh County
2020,04009,39037,778,Graham County,Darke County
2020,42081,04009,31,Lycoming County,Graham County
2020,55037,04009,141,Florence County,Graham County
2018,23011,05009,680,Kennebec County,Boone County
2018,05009,36011,542,Boone County,Cayuga County
2018,13287,05009,73,Turner County,Boone County
2018,05009,37167,578,Boone County,Stanly County
2018,47147,05009,875,Robertson County,Boone County
2019,33009,05009,274,Grafton County,Boone County
2019,49001,05009,619,Beaver County,Boone County
2020,05009,32029,877,Boone County,Storey County
2020,05009,24019,692,Boone County,Dorchester County
2018,26037,05127,478,Clinton County,Scott County
2018,72067,05127,195,Hormigueros Municipio,Scott County
2018,26009,05127,401,Antrim County,Scott County
2019,05127,22033,928,Scott County,East Baton Rouge Parish
2019,05127,09001,333,Scott County,Fairfield County
2019,37079,05127,117,Greene County,Scott County
2020,05009,05127,636,Boone County,Scott County
2020,09001,05127,802,Fairfield County,Scott County
2020,05127,31001,131,Scott County,Adams County
2018,45017,05021,655,Calhoun County,Clay County
2018,05021,47145,532,Clay County,Roane County
2018,50027,05021,209,Windsor County,Clay County
2018,36025,05021,834,Delaware County,Clay County
2018,05021,72021,725,Clay County,Bayamón Municipio
2019,33015,05021,141,Rockingham County,Clay County
2019,05021,56001,648,Clay County,Albany County
2019,05021,18135,433,Clay County,Randolph County
2019,13299,05021,161,Ware County,Clay County
2019,18045,05021,852,Fountain County,Clay County
2020,05021,41071,79,Clay County,Yamhill County
2020,05021,40021,371,Clay County,Cherokee County
2020,24001,05021,337,Allegany County,Clay County
2020,05021,04009,628,Clay County,Graham County
2018,31135,05001,117,Perkins County,Arkansas County
2018,05001,53053,311,Arkansas County,Pierce County
2018,05001,34023,670,Arkansas County,Middlesex County
2019,05001,48019,788,Arkansas County,Bandera County
2019,31079,05001,800,Hall County,Arkansas County
2019,05001,06105,624,Arkansas County,Trinity County
2019,35035,05001,410,Otero County,Arkansas County
2020,05001,39037,466,Arkansas County,Darke County
2020,05001,53027,990,Arkansas County,Grays Harbor County
2018,06075,05071,947,San Francisco County,Johnson County
2018,05071,25025,895,Johnson County,Suffolk County
2018,02282,05071,160,Yakutat City and Borough,Johnson County
2018,38025,05071,320,Dunn County,Johnson County
2019,05071,27053,647,Johnson County,Hennepin County
2019,35049,05071,566,Santa Fe County,Johnson County
2019,18021,05071,960,Clay County,Johnson County
2019,19125,05071,361,Marion County,Johnson County
2019,05071,30073,548,Johnson County,Pondera County
2020,05071,38095,496,Johnson County,Towner County
2020,05071,28107,39,Johnson County,Panola County
2018,50023,05123,671,Washington County,St. Francis County
2018,05123,44003,830,St. Francis County,Kent County
2019,12035,05123,954,Flagler County,St. Francis County
2019,44007,05123,59,Providence County,St. Francis County
2019,26001,05123,117,Alcona County,St. Francis County
2019,05123,13315,836,St. Francis County,Wilcox County
2020,05123,34011,156,St. Francis County,Cumberland County
2020,01019,05123,412,Cherokee County,St. Francis County
2020,05123,40101,75,St. Francis County,Muskogee County
2020,36097,05123,968,Schuyler County,St. Francis County
2018,05057,33015,283,Hempstead County,Rockingham County
2018,02282,05057,101,Yakutat City and Borough,Hempstead County
2019,31081,05057,948,Hamilton County,Hempstead County
2019,05057,15009,175,Hempstead County,Maui County
2019,39001,05057,999,Adams County,Hempstead County
2019,08011,05057,909,Bent County,Hempstead County
2019,08023,05057,67,Costilla County,Hempstead County
2020,05057,04005,461,Hempstead County,Coconino County
2020,05057,39153,688,Hempstead County,Summit County
2020,13105,05057,442,Elbert County,Hempstead County
2020,05057,38065,553,Hempstead County,Oliver County
2018,05025,48159,541,Cleveland County,Franklin County
2018,05025,56027,933,Cleveland County,Niobrara County
2019,25003,05025,749,Berkshire County,Cleveland County
2019,24001,05025,641,Allegany County,Cleveland County
2019,28045,05025,290,Hancock County,Cleveland County
2020,05025,19169,533,Cleveland County,Story County
2020,35031,05025,469,McKinley County,Cleveland County
2020,19129,05025,877,Mills County,Cleveland County
2020,05025,44001,668,Cleveland County,Bristol County
2018,27037,05139,691,Dakota County,Union County
2018,05139,37141,351,Union County,Pender County
2019,05139,21009,131,Union County,Barren County
2019,05139,25009,715,Union County,Essex County
2019,33003,05139,453,Carroll County,Union County
2019,05139,30053,127,Union County,Lincoln County
2019,25001,05139,440,Barnstable County,Union County
2020,30053,05139,893,Lincoln County,Union County
2020,05139,55009,192,Union County,Brown County
2018,34031,05129,30,Passaic County,Searcy County
2018,56025,05129,780,Natrona County,Searcy County
2018,05129,33001,753,Searcy County,Belknap County
2018,30067,05129,490,Park County,Searcy County
2019,20091,05129,623,Johnson County,Searcy County
2019,41071,05129,51,Yamhill County,Searcy County
2019,05129,29091,186,Searcy County,Howell County
2020,09001,05129,937,Fairfield County,Searcy County
2020,05129,08023,143,Searcy County,Costilla County
2018,06001,08001,741,Alameda County,Adams County
2018,06001,15007,697,Alameda County,Kauai County
2018,38101,06001,169,Ward County,Alameda County
2018,40101,06001,497,Muskogee County,Alameda County
2018,06001,36101,249,Alameda County,Steuben County
2019,06001,21009,60,Alameda County,Barren County
2019,06001,18001,554,Alameda County,Adams County
2019,06001,35028,909,Alameda County,Los Alamos County
2019,06001,47147,927,Alameda County,Robertson County
2020,20021,06001,138,Cherokee County,Alameda County
2020,08031,06001,155,Denver County,Alameda County
2020,29141,06001,911,Morgan County,Alameda County
2020,06001,04025,908,Alameda County,Yavapai County
2018,20107,06011,530,Linn County,Colusa County
2018,34035,06011,967,Somerset County,Colusa County
2018,21053,06011,590,Clinton County,Colusa County
2019,06011,09001,709,Colusa County,Fairfield County
2019,06011,39137,758,Colusa County,Putnam County
2019,72131,06011,974,San Sebastián Municipio,Colusa County
2019,49027,06011,332,Millard County,Colusa County
2019,06011,51700,866,Colusa County,Newport News city
2020,06011,45007,595,Colusa County,Anderson County
2020,46093,06011,19,Meade County,Colusa County
2018,06069,24003,965,San Benito County,Anne Arundel County
2018,06069,36119,783,San Benito County,Westchester County
2018,06069,26037,733,San Benito County,Clinton County
2019,47145,06069,224,Roane County,San Benito County
2019,29163,06069,496,Pike County,San Benito County
2019,38035,06069,75,Grand Forks County,San Benito County
2019,06069,33005,209,San Benito County,Cheshire County
2020,39053,06069,511,Gallia County,San Benito County
2020,06069,19125,466,San Benito County,Marion County
2020,21111,06069,723,Jefferson County,San Benito County
2020,48403,06069,203,Sabine County,San Benito County
2020,06069,01081,920,San Benito County,Lee County
2018,06027,09013,844,Inyo County,Tolland County
2018,54087,06027,411,Roane County,Inyo County
2019,06027,36011,108,Inyo County,Cayuga County
2019,32001,06027,246,Churchill County,Inyo County
2019,06027,26107,634,Inyo County,Mecosta County
2020,36113,06027,233,Warren County,Inyo County
2020,04025,06027,400,Yavapai County,Inyo County
2020,06027,39045,314,Inyo County,Fairfield County
2020,38095,06027,318,Towner County,Inyo County
2020,06027,31111,636,Inyo County,Lincoln County
2018,06089,39021,716,Shasta County,Champaign County
2018,06089,15003,377,Shasta County,Honolulu County
2018,24025,06089,947,Harford County,Shasta County
2018,49017,06089,894,Garfield County,Shasta County
2018,13199,06089,410,Meriwether County,Shasta County
2019,06089,50009,735,Shasta County,Essex County
2019,06089,33019,780,Shasta County,Sullivan County
2019,06089,48371,189,Shasta County,Pecos County
2020,06089,55099,526,Shasta County,Price County
2020,06089,20107,991,Shasta County,Linn County
2020,06089,48381,470,Shasta County,Randall County
2018,04027,06105,65,Yuma County,Trinity County
2018,06105,28061,781,Trinity County,Jasper County
2018,06105,45053,449,Trinity County,Jasper County
2018,21129,06105,584,Lee County,Trinity County
2018,06105,05129,832,Trinity County,Searcy County
2019,49017,06105,190,Garfield County,Trinity County
2019,23011,06105,138,Kennebec County,Trinity County
2020,50023,06105,370,Washington County,Trinity County
2020,17061,06105,556,Greene County,Trinity County
2020,06105,22105,304,Trinity County,Tangipahoa Parish
2020,06105,49027,107,Trinity County,Millard County
2018,06075,18135,404,San Francisco County,Randolph County
2018,08121,06075,819,Washington County,San Francisco County
2018,06075,42073,29,San Francisco County,Lawrence County
2018,30089,06075,665,Sanders County,San Francisco County
2019,06075,18021,740,San Francisco County,Clay County
2019,06075,55099,867,San Francisco County,Price County
2019,06025,06075,698,Imperial County,San Francisco County
2019,53055,06075,344,San Juan County,San Francisco County
2020,33013,06075,929,Merrimack County,San Francisco County
2020,06075,35001,626,San Francisco County,Bernalillo County
2020,06075,26025,295,San Francisco County,Calhoun County
2020,06075,27001,892,San Francisco County,Aitkin County
2018,34033,06051,317,Salem County,Mono County
2018,08011,06051,742,Bent County,Mono County
2019,36001,06051,608,Albany County,Mono County
2019,06051,53049,657,Mono County,Pacific County
2019,06051,46127,119,Mono County,Union County
2020,35001,06051,998,Bernalillo County,Mono County
2020,06051,38025,940,Mono County,Dunn County
2020,06051,31053,423,Mono County,Dodge County
2018,06093,28107,425,Siskiyou County,Panola County
2018,06093,45051,607,Siskiyou County,Horry County
2018,06093,31145,956,Siskiyou County,Red Willow County
2019,36033,06093,937,Franklin County,Siskiyou County
2019,06093,19085,493,Siskiyou County,Harrison County
2019,31081,06093,360,Hamilton County,Siskiyou County
2020,06001,06093,292,Alameda County,Siskiyou County
2020,06093,25027,355,Siskiyou County,Worcester County
2020,12019,06093,43,Clay County,Siskiyou County
2020,72067,06093,298,Hormigueros Municipio,Siskiyou County
2020,04017,06093,404,Navajo County,Siskiyou County
2018,36051,06025,379,Livingston County,Imperial County
2018,12129,06025,140,Wakulla County,Imperial County
2018,53027,06025,62,Grays Harbor County,Imperial County
2018,06025,51790,227,Imperial County,Staunton city
2018,06025,20107,829,Imperial County,Linn County
2019,22123,06025,705,West Carroll Parish,Imperial County
2019,06025,35035,32,Imperial County,Otero County
2019,45025,06025,538,Chesterfield County,Imperial County
2019,33003,06025,720,Carroll County,Imperial County
2019,18045,06025,608,Fountain County,Imperial County
2020,06025,24019,1000,Imperial County,Dorchester County
2020,32011,06025,234,Eureka County,Imperial County
2020,06025,42019,328,Imperial County,Butler County
2020,45089,06025,147,Williamsburg County,Imperial County
2020,44005,06025,152,Newport County,Imperial County
2018,44007,08103,90,Providence County,Rio Blanco County
2018,41027,08103,980,Hood River County,Rio Blanco County
2019,08103,35049,416,Rio Blanco County,Santa Fe County
2019,51790,08103,311,Staunton city,Rio Blanco County
2020,08103,17021,371,Rio Blanco County,Christian County
2020,08103,15007,315,Rio Blanco County,Kauai County
2020,48411,08103,242,San Saba County,Rio Blanco County
2020,08103,41063,305,Rio Blanco County,Wallowa County
2020,08103,40095,250,Rio Blanco County,Marshall County
2018,41063,08115,806,Wallowa County,Sedgwick County
2018,08115,20095,822,Sedgwick County,Kingman County
2018,12083,08115,852,Marion County,Sedgwick County
2018,25001,08115,988,Barnstable County,Sedgwick County
2018,08115,45051,287,Sedgwick County,Horry County
2019,33013,08115,581,Merrimack County,Sedgwick County
2019,08115,33005,251,Sedgwick County,Cheshire County
2019,40057,08115,23,Harmon County,Sedgwick County
2019,36033,08115,127,Franklin County,Sedgwick County
2020,08115,56003,965,Sedgwick County,Big Horn County
2020,39021,08115,809,Champaign County,Sedgwick County
2018,08001,06051,202,Adams County,Mono County
2018,08001,29081,836,Adams County,Harrison County
2018,08001,45009,16,Adams County,Bamberg County
2018,48381,08001,837,Randall County,Adams County
2019,26009,08001,872,Antrim County,Adams County
2019,08001,46013,641,Adams County,Brown County
2019,17001,08001,132,Adams County,Adams County
2019,08023,08001,519,Costilla County,Adams County
2020,08001,02090,939,Adams County,Fairbanks North Star Borough
2020,06025,08001,676,Imperial County,Adams County
2018,08087,24001,166,Morgan County,Allegany County
2018,08087,49033,138,Morgan County,Rich County
2018,27045,08087,765,Fillmore County,Morgan County
2018,08087,41071,589,Morgan County,Yamhill County
2019,50003,08087,605,Bennington County,Morgan County
2019,08087,11001,731,Morgan County,District of Columbia
2020,09013,08087,653,Tolland County,Morgan County
2020,29095,08087,581,Jackson County,Morgan County
2020,08087,22051,11,Morgan County,Jefferson Parish
2020,21089,08087,952,Greenup County,Morgan County
2020,08087,30089,110,Morgan County,Sanders County
2018,40091,08011,77,McIntosh County,Bent County
2018,13191,08011,470,McIntosh County,Bent County
2018,08011,42011,149,Bent County,Berks County
2019,08011,05123,249,Bent County,St. Francis County
2019,08011,26025,479,Bent County,Calhoun County
2019,08011,09003,929,Bent County,Hartford County
2020,21215,08011,352,Spencer County,Bent County
